"Date","Month","Year","Site.Name","COUNTY","meanLat","meanLong","PM2.5","Ozone"
2018-01-20,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,41,NA
2018-01-20,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,40,NA
2018-01-21,1,2018,"Bryson City","Swain",35.434767,-83.442133,50,NA
2018-01-21,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,48,NA
2018-01-21,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
2018-01-21,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,53,36
2018-01-21,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,49,NA
2018-01-21,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,22,NA
2018-01-21,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,34,NA
2018-01-21,1,2018,"Millbrook School","Wake",35.856111,-78.574167,51,34
2018-01-21,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,35,NA
2018-01-21,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,43,NA
2018-01-22,1,2018,"Bryson City","Swain",35.434767,-83.442133,48,NA
2018-01-22,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,25,NA
2018-01-22,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,58,NA
2018-01-22,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,59,NA
2018-01-22,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,57,37
2018-01-22,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,52,NA
2018-01-22,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,40,NA
2018-01-22,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,51,NA
2018-01-22,1,2018,"Millbrook School","Wake",35.856111,-78.574167,59,32
2018-01-22,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,39,NA
2018-01-22,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,57,NA
2018-01-23,1,2018,"Bryson City","Swain",35.434767,-83.442133,17,NA
2018-01-23,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,8,NA
2018-01-23,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,25,NA
2018-01-23,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,18.5,NA
2018-01-23,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,11,NA
2018-01-23,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15.5,36
2018-01-23,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,20,NA
2018-01-23,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,13,NA
2018-01-23,1,2018,"Linville Falls","Avery",35.972347,-81.933072,10,NA
2018-01-23,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,19,NA
2018-01-23,1,2018,"Millbrook School","Wake",35.856111,-78.574167,20.5,37
2018-01-23,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,16,NA
2018-01-23,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,15,NA
2018-01-24,1,2018,"Bryson City","Swain",35.434767,-83.442133,18,NA
2018-01-24,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,7,NA
2018-01-24,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,16,NA
2018-01-24,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,26,NA
2018-01-24,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,22,28
2018-01-24,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,15,NA
2018-01-24,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,3,NA
2018-01-24,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,13,NA
2018-01-24,1,2018,"Millbrook School","Wake",35.856111,-78.574167,20,31
2018-01-24,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,9,NA
2018-01-24,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,15,NA
2018-01-25,1,2018,"Bryson City","Swain",35.434767,-83.442133,26,NA
2018-01-25,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
2018-01-25,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,34,NA
2018-01-25,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,43,NA
2018-01-25,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,30,31
2018-01-25,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,34,NA
2018-01-25,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,8,NA
2018-01-25,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27,NA
2018-01-25,1,2018,"Millbrook School","Wake",35.856111,-78.574167,35,31
2018-01-25,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,13,NA
2018-01-25,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,25,NA
2018-01-26,1,2018,"Bryson City","Swain",35.434767,-83.442133,52,NA
2018-01-26,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,6,NA
2018-01-26,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,58,NA
2018-01-26,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,46,NA
2018-01-26,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,8,NA
2018-01-26,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,46,34
2018-01-26,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,57.6666666666667,NA
2018-01-26,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,16,NA
2018-01-26,1,2018,"Linville Falls","Avery",35.972347,-81.933072,18,NA
2018-01-26,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,56,NA
2018-01-26,1,2018,"Millbrook School","Wake",35.856111,-78.574167,47.5,28
2018-01-26,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,21,NA
2018-01-26,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
2018-01-27,1,2018,"Bryson City","Swain",35.434767,-83.442133,58,NA
2018-01-27,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,3,NA
2018-01-27,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,61,NA
2018-01-27,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,42,NA
2018-01-27,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,49,31
2018-01-27,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,76,NA
2018-01-27,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,18,NA
2018-01-27,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
2018-01-27,1,2018,"Millbrook School","Wake",35.856111,-78.574167,37,37
2018-01-27,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,26,NA
2018-01-27,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
2018-01-28,1,2018,"Bryson City","Swain",35.434767,-83.442133,28,NA
2018-01-28,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,0,NA
2018-01-28,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,56,NA
2018-01-28,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,25,NA
2018-01-28,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,43,29
2018-01-28,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,46,NA
2018-01-28,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,10,NA
2018-01-28,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,46,NA
